locus_tag	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj
BT_0092	-0.028948988459764	0.783983280877678	NA
BT_0093	-0.058424857614094	0.714271088469567	NA
BT_0094	-0.029042496047999	0.766096484264385	NA
BT_0095	-0.016353838714815	0.77324323285023	NA
BT_0096	0.165626243304759	0.371428711054604	NA
BT_0097	-0.119550280238606	0.381725845771981	NA
BT_0098	-0.054361930795132	0.79413440082993	NA
BT_0099	0.016415127018667	0.772416816921101	NA
BT_0100	-0.04109651466054	0.517496142308302	NA
BT_0101	-0.001747705372178	0.993252532961264	NA
BT_0102	0.027526242492457	0.905320498222617	NA
BT_0103	-0.072870363648614	0.671972398894579	NA
BT_0104	5.29007522903561e-5	0.999661587060504	NA
BT_0105	-0.228297442724688	0.375589681347964	NA
BT_0106	-0.549723096749425	0.00149749490654	0.021074361011654
BT_0107	-0.089761997296678	0.735340329599968	NA
BT_0108	-0.173239827856838	0.503352404731813	NA
BT_0109	-0.028277034688278	0.789268487425585	NA
BT_0110	0.028265118333958	0.914757615498706	NA
BT_0111	-0.086062123341276	0.747679572158422	NA
BT_0112	0.002997314989788	0.988956385932486	NA
BT_0113	0.002175896615942	0.98950805992149	NA
BT_0114	0.022144265016929	0.92106050092211	NA
BT_0115	0.029778462564117	0.861754407887636	NA
BT_0116	-0.017740221458846	0.947109726108819	NA
BT_0117	0.135758074534454	0.576122370520626	NA
BT_0118	0.128307342282067	0.389058774469908	NA
BT_0119	0.086883320183927	0.676391658016805	NA
BT_0120	-0.089890436065488	0.603043551137266	NA
BT_0121	2.79562105602e-4	0.99914809913909	NA
BT_0122	0.061783111486816	0.477860273381992	0.82621319537483
BT_0123	-0.113914899604527	0.278612004938586	NA
BT_0124	0.128439198628628	0.60303614144822	NA
BT_0125	-0.131907656009071	0.465317244915593	0.822907587794178
BT_0126	-0.065129872332825	0.483800244734045	0.826894219599178
BT_0127	-0.030779804215208	0.842628384150128	0.971691540373564
BT_0128	-0.154252216967746	0.133911228171839	0.482995533291219
BT_0129	-0.042513407679796	0.87293029605615	NA
BT_0130	-0.283846713299294	0.282321045057047	NA
BT_0131	-0.27477907352059	0.0043738956623	0.050278490387573
BT_0132	0.063331700315966	0.669962869841027	0.911626786574979
BT_0133	0.075723722543105	0.391155657175669	0.766224796591707
BT_0134	0.225040252868719	0.106505527085365	0.428716967662652
BT_0135	0.1549950949947	0.142481893500295	0.495100900586495
BT_0136	0.022449923416298	0.891591264608017	0.983198774735602
BT_0137	0.002351015596625	0.99107969271429	0.998628264712744
BT_0138	-0.004261631991118	0.976634056636878	0.994209212941533
BT_0139	-0.133532953463497	0.505750056318591	NA
BT_0140	-0.238843799468756	0.167196270988261	0.537584495207423
BT_0141	-0.182637895775328	0.389457447852801	0.764908642884272
BT_0142	-0.298019280948811	0.129013745518658	0.473007309471714
BT_0143	-0.163384354580992	0.353470439581966	0.736530944436455
BT_0144	0.030661126140408	0.872897401725191	NA
BT_0145	-0.164554305684945	0.525091858593292	NA
BT_0146	-0.236711735676026	0.376263582352545	NA
BT_0147	-0.246853776343582	0.003036704196158	0.037411786712936
BT_0148	-0.150615312543079	0.072399509427462	0.347650662723208
BT_0149	0.232801575469928	0.058563797966486	0.30781944511926
BT_0150	-0.205010917020186	0.093563495083555	0.400407986562253
BT_0151	-0.072936545955741	0.360541111573045	0.740365754252374
BT_0152	0.016271674800337	0.880966661713487	0.983198774735602
BT_0153	-0.192668114070941	0.099745688974564	0.414267282585619
BT_0154	-0.110062996891743	0.239220711920412	0.632905701313657
BT_0155	-0.1090641351592	0.60742732807394	0.892242711129083
BT_0156	-0.213908083443411	0.14120085886662	0.493163531334831
BT_0157	-0.049521829350169	0.539866525738186	0.864082205845316
BT_0158	0.036876219578134	0.763818722387537	0.947765108173312
BT_0159	-0.171629231622065	0.221028107240147	0.610371203314488
BT_0160	-0.500864486047309	9.63899200888e-4	0.0153343790263
BT_0161	-0.517486501596896	0.019253399186796	0.148624868406086
BT_0162	-0.149563073709333	0.345530142902547	0.733618219869806
BT_0163	-0.134302009202836	0.358714640106934	0.739457390507759
BT_0164	-0.093653302584587	0.186918505672536	0.571851849712214
BT_0165	-0.090496706396329	0.707856593191153	0.923697316150652
BT_0166	0.117233387231188	0.567752413434212	0.871343812407982
BT_0167	-0.347883943453905	0.03815652495889	0.235835683825299
BT_0168	-0.10154391157998	0.432269457689111	0.802472828860709
BT_0169	0.075252662337459	0.42432597333523	0.795393819894265
BT_0170	-0.344437852264156	0.002257811952039	0.029824310225675
BT_0171	-0.116323280808352	0.650122630515775	NA
BT_0172	0.725955267547561	0.002873703202688	0.035643661080117
BT_0173	0.493118598403605	2.46642084499989e-7	1.41009904247728e-5
BT_0174	0.323017609213772	3.25326187118192e-5	9.83775635261e-4
BT_0175	-0.371843722862935	0.05707959628439	0.303126622357884
BT_0176	0.266747659541604	0.109013824437169	0.434178032235986
BT_0177	0.114159338268916	0.175933124440852	0.553516167092931
BT_0178	-0.157440386283945	0.369919815001877	0.747307612142471
BT_0179	-0.417545239409528	0.019352412392689	0.149074688304942
BT_0180	-0.178455590754026	0.041977839145301	0.249872435157177
BT_0181	-0.147252794218406	0.493054320801149	0.832935113926588
BT_0182	0.100121829990487	0.646764315587336	0.905905807987329
BT_0183	-0.045370550302308	0.759206080487396	0.945912219420517
BT_0184	0.161758048649308	0.20818777223671	0.596931649973304
BT_0185	-0.00229099395745	0.983148642185945	0.995417579414609
BT_0186	0.3092070464933	6.88564601829976e-5	0.001866265094886
BT_0187	-0.152490828186672	0.030369600870253	0.200581894556417
BT_0188	0.102749985887953	0.628957816512245	0.903131966986478
BT_0189	-0.209488310800809	0.291360251862932	0.675189104229629
BT_0190	-0.056885488090168	0.825075788671803	0.964479445189967
BT_0191	0.035135745881353	0.894944400875961	NA
BT_0192	-0.451674783440791	0.040607025563044	0.24397554439274
BT_0193	-0.080796401682006	0.755376291218896	NA
