MAPS_BTnc201_logFC	MAPS_BTnc201_logCPM	MAPS_BTnc201_F	MAPS_BTnc201_p_value	MAPS_BTnc201_FDR	id_lower	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj	locus_tag
0.44608334951991	1.31051653420299	1.73503026810287	0.101897242305529	0.660706446228425	bt_2650	-0.351759668266628	0.004933528212419	0.054868631395875	BT_2650
-0.193353791663512	6.01531351061395	1.72897081397019	1	0.661277017979155	btnc229	NA	NA	NA	BTnc229
-0.192249047271258	4.29068796286475	1.7268649601962	1	0.661480772721218	bt_0180	-0.178455590754026	0.041977839145301	0.249872435157177	BT_0180
-0.469218631334512	1.14948548922397	1.7151274249022	1	0.665605826086713	bt_1937	0.025970029433828	0.851414026202614	0.974452274593482	BT_1937
0.293949793906284	2.53511996263194	1.71182606929257	0.103356945233769	0.666303049489394	bt_4329	-0.475760506100992	3.94590462132e-4	0.007480862699185	BT_4329
-0.243086418571004	3.05657288121131	1.70965733076528	1	0.666538380978579	bt_4320	0.280540291614175	0.007330964546245	0.074508973062734	BT_4320
-0.330671919057976	2.01267918669223	1.70632754796194	1	0.667250706879855	bt_3820	0.106382629975917	0.290941228043974	0.675189104229629	BT_3820
-0.486830808816954	1.08783508470366	1.69847193250661	1	0.668081488062203	bt_2497	0.469097212852094	0.001466622453766	0.020880823184162	BT_2497
-0.470188616491043	1.15463421397332	1.68857809977034	1	0.668081488062203	bt_3673	-0.232642536702864	0.131404006310274	0.479369151634388	BT_3673
-0.406414290609843	1.4531411806192	1.69581885513705	1	0.668081488062203	bt_0240	-0.057156670837546	0.675309333841859	0.912436058231807	BT_0240
-0.195041107522294	3.82124974925501	1.69079816742802	1	0.668081488062203	bt_0424	0.297152166853317	0.169885428139725	0.541270080583631	BT_0424
-0.174813766582679	5.34305840992529	1.69444342406769	1	0.668081488062203	btnc195	NA	NA	NA	BTnc195
-0.173745360233217	6.00885399146976	1.69381110954645	1	0.668081488062203	bt_2712	0.115597724440391	0.213634245342629	0.604421125859073	BT_2712
0.175164348034515	4.98285362830312	1.6917145442643	0.104643489970038	0.668081488062203	bt_3407	0.015221479347492	0.872098630495774	0.980600862093446	BT_3407
0.21387476018728	3.43362225389699	1.68647753805596	0.104981818445631	0.668081488062203	bt_1972	-0.031219284059535	0.715235693166595	0.928084471747105	BT_1972
0.244096968373628	3.32245263638354	1.69959895602401	0.104136723923084	0.668081488062203	bt_2569	-0.246118681790697	0.005668943523395	0.061487393794519	BT_2569
0.289860622097105	2.36582681265305	1.69518313065378	0.104420165691473	0.668081488062203	bt_2186	0.092813942123172	0.452363076849863	0.816030824259619	BT_2186
0.291579549864211	2.40425856618046	1.68536554735179	0.105053834722635	0.668081488062203	bt_3083	-0.015024617922232	0.900038751806973	0.983312534912097	BT_3083
0.312396133725459	2.12685693465203	1.68636283209652	0.104989244303747	0.668081488062203	bt_0751	0.194445869888593	0.171935060516581	0.54421313705032	BT_0751
-0.360024803620393	1.80213102808238	1.68348872334247	1	0.668209760277214	bt_3947	-0.415054167811853	0.005951281606868	0.063486120698333	BT_3947
0.503543992516785	1.08499814864571	1.68149293628829	0.10530512618827	0.668387985121692	bt_1267	0.287290200037397	0.00415646810612	0.048434766879916	BT_1267
-0.570312310545531	0.693541784198496	1.67687152565808	1	0.669007420116502	bt_3002	-0.315464167276794	0.068549245410763	0.336222103160831	BT_3002
0.174104508708358	6.47853128982147	1.6773907904176	0.105572141791859	0.669007420116502	bt_2071	-0.258269983066934	0.010784009802864	0.098893964583157	BT_2071
-0.639302214733324	0.484814302473367	1.67006512198976	1	0.669574973247104	bt_0612	0.129303716175074	0.397242371001912	0.770683900050899	BT_0612
-0.177305651033015	6.99498777579009	1.6714147789176	1	0.669574973247104	bt_3873	-0.17346371278869	0.049031781421578	0.279016000344562	BT_3873
0.17182411242446	5.73565482647101	1.67278546149012	0.105872931999364	0.669574973247104	bt_2756	-0.320984488710878	0.007090893001862	0.072952456729629	BT_2756
0.179032571684283	6.91855977199834	1.66928163062965	0.106102506395735	0.669574973247104	bt_2070	0.120742008904292	0.543824562861005	0.865181419679897	BT_2070
-0.354914307503799	1.84213223685675	1.66588041823505	1	0.669910826064816	bt_2402	0.366916548500456	0.008884604138842	0.086459485489419	BT_2402
0.280232071612558	2.42163127602117	1.66537395834116	0.10635928490394	0.669910826064816	bt_0795	-0.301916364328899	0.023877947903931	0.170977321683921	BT_0795
0.192246556620643	8.09894198220155	1.65749542963552	0.106879392097145	0.672026787903783	bt_1329	-0.163014363907689	0.022571483260409	0.164848417664345	BT_1329
